,spot_exchange_UStoWON,CPI,M3,CLI_korea,3month_rate_yield_certificates_of_deposit,export,BSI,unemployed_rate,gold_price,kospi_index,oil_price,agriculture(food)_price,average_hourly_earning_dollar,industrial_material_price,CSI
2002-01-01,1316.3381,69.900 ,1034665500000000 ,100.681 ,4.790,12441145226 ,,3.6,,748.070007,19.72,59.198 ,,46.056 ,
2002-02-01,1320.5526,70.233 ,1047524600000000 ,101.148 ,4.540,12115218136 ,,3.5,,819.98999,20.72,59.468 ,,46.741 ,
2002-03-01,1322.9048,70.633 ,1067363000000000 ,101.503 ,4.640,12896305218 ,,3.4,,895.580017,24.53,62.297 ,,47.342 ,
2002-04-01,1318.0909,71.032 ,1077324400000000 ,101.694 ,4.790,13085954235 ,,3.4,,842.340027,26.18,62.471 ,,47.640 ,
2002-05-01,1262.2000,71.298 ,1086574600000000 ,101.722 ,4.810,13863414977 ,,3.3,,796.400024,27.04,61.744 ,,47.428 ,
2002-06-01,1219.6950,71.232 ,1089391900000000 ,101.626 ,4.850,12691057403 ,,3.1,,742.719971,25.52,61.146 ,,48.941 ,
2002-07-01,1179.9868,71.032 ,1099216800000000 ,101.461 ,4.910,13685828316 ,,3.1,,717.98999,26.97,63.148 ,,49.512 ,
2002-08-01,1197.5091,71.498 ,1110061000000000 ,101.245 ,4.800,14598410742 ,,3.3,,736.400024,28.39,62.972 ,,48.560 ,
2002-09-01,1211.6050,71.899 ,1124309800000000 ,101.000 ,4.810,13998454885 ,,3.0,,646.419983,29.66,63.556 ,,49.478 ,
2002-10-01,1240.1909,71.698 ,1139450900000000 ,100.721 ,4.910,14432095770 ,,3.1,,658.919983,28.84,66.079 ,,49.604 ,
2002-11-01,1210.2000,71.765 ,1148864600000000 ,100.402 ,4.910,14634047939 ,,3.1,,724.799988,26.35,64.738 ,,50.987 ,
2002-12-01,1206.6143,72.096 ,1154146800000000 ,100.030 ,4.900,14351697823 ,,3.1,,627.549988,29.46,65.685 ,,51.329 ,
